"Meldewoche"	"Altersgruppierung: 1-Jahresintervalle"
""	"A00..00"	"A01..01"	"A02..02"	"A03..03"	"A04..04"	"A05..05"	"A06..06"	"A07..07"	"A08..08"	"A09..09"	"A10..10"	"A11..11"	"A12..12"	"A13..13"	"A14..14"	"A15..15"	"A16..16"	"A17..17"	"A18..18"	"A19..19"	"A20..20"	"A21..21"	"A22..22"	"A23..23"	"A24..24"	"A25..25"	"A26..26"	"A27..27"	"A28..28"	"A29..29"	"A30..30"	"A31..31"	"A32..32"	"A33..33"	"A34..34"	"A35..35"	"A36..36"	"A37..37"	"A38..38"	"A39..39"	"A40..40"	"A41..41"	"A42..42"	"A43..43"	"A44..44"	"A45..45"	"A46..46"	"A47..47"	"A48..48"	"A49..49"	"A50..50"	"A51..51"	"A52..52"	"A53..53"	"A54..54"	"A55..55"	"A56..56"	"A57..57"	"A58..58"	"A59..59"	"A60..60"	"A61..61"	"A62..62"	"A63..63"	"A64..64"	"A65..65"	"A66..66"	"A67..67"	"A68..68"	"A69..69"	"A70..70"	"A71..71"	"A72..72"	"A73..73"	"A74..74"	"A75..75"	"A76..76"	"A77..77"	"A78..78"	"A79..79"	"A80+"	"Unbekannt"
"34"	"1"	"3"	""	"1"	""	""	"2"	""	""	""	""	"3"	"5"	""	"1"	"2"	""	"3"	"3"	"2"	"8"	"7"	"5"	"5"	"6"	"7"	"5"	"5"	"7"	"2"	"4"	"3"	"9"	"2"	"8"	"3"	"3"	"3"	"4"	"4"	"2"	"4"	"2"	"1"	""	"4"	"3"	""	"3"	"3"	"1"	"3"	"4"	"4"	"3"	"3"	"2"	"2"	""	"2"	""	"2"	"2"	"1"	""	""	""	""	"1"	""	""	""	"2"	""	"1"	""	"1"	"1"	""	""	"2"	""
"35"	"1"	"2"	""	""	"1"	"2"	"2"	"1"	"1"	"1"	""	""	"3"	"2"	"1"	"1"	""	"7"	"3"	"5"	"4"	"6"	"4"	"8"	"16"	"6"	"8"	"7"	"8"	"3"	"5"	"8"	"6"	"4"	"2"	"2"	"2"	"6"	"2"	""	"1"	"2"	""	"2"	"2"	"4"	"2"	"3"	"4"	"4"	"1"	"3"	""	"5"	"1"	"2"	"2"	"3"	"1"	"1"	"3"	"3"	"1"	""	"1"	"1"	"2"	"1"	"1"	"1"	""	""	""	"1"	""	""	"1"	"2"	"1"	""	"1"	""
"36"	"1"	""	"1"	"1"	""	"1"	"1"	""	"1"	"2"	""	"1"	"4"	"6"	"3"	"1"	"5"	"5"	"3"	"6"	"8"	"5"	"13"	"5"	"8"	"13"	"10"	"11"	"10"	"12"	"10"	"11"	"4"	"7"	"6"	"4"	"4"	"3"	"4"	"5"	"1"	"3"	"7"	"3"	"5"	""	"4"	"1"	"3"	"2"	"2"	"2"	"5"	"3"	"1"	"2"	"2"	"1"	"2"	"2"	"4"	"1"	"3"	""	"1"	"2"	""	"3"	""	"1"	""	"1"	""	"1"	""	""	"1"	""	""	""	"5"	""
"37"	"1"	"2"	""	""	""	"1"	"4"	"1"	"1"	"5"	"2"	"2"	"3"	"18"	"8"	"4"	"2"	"3"	"5"	"8"	"3"	"1"	"9"	"7"	"7"	"15"	"12"	"7"	"13"	"10"	"13"	"10"	"8"	"8"	"5"	"9"	"3"	"6"	"4"	"4"	"4"	"4"	"4"	"2"	"2"	""	"5"	"5"	""	"4"	"3"	"3"	"1"	"8"	"3"	"3"	"5"	"2"	"3"	"4"	"3"	"1"	"1"	"1"	"3"	"1"	""	"3"	"3"	"2"	""	""	"2"	""	"1"	""	"2"	"1"	""	""	"7"	""
"38"	"5"	"2"	"1"	"1"	"1"	""	"2"	"1"	"1"	"3"	"4"	"4"	"1"	"5"	"2"	"3"	"2"	"6"	"8"	"10"	"11"	"15"	"16"	"18"	"19"	"17"	"7"	"11"	"20"	"9"	"14"	"11"	"10"	"8"	"6"	"7"	"5"	"3"	"5"	"3"	"9"	"4"	"2"	"3"	"5"	"2"	"4"	"6"	"6"	"4"	"5"	"5"	"3"	"4"	"7"	"6"	"1"	"4"	"1"	"5"	"2"	"1"	"2"	"2"	"2"	"3"	""	"1"	"3"	"2"	"5"	"2"	"2"	"1"	""	"1"	"1"	""	"1"	""	"6"	""
"39"	"2"	"1"	"1"	""	"2"	"1"	"1"	"5"	"1"	"6"	"2"	"3"	"6"	"5"	"2"	"7"	"5"	"8"	"18"	"21"	"16"	"20"	"12"	"18"	"22"	"19"	"20"	"13"	"18"	"9"	"18"	"11"	"8"	"9"	"12"	"8"	"7"	"8"	"7"	"6"	"4"	"6"	"8"	"3"	"2"	"5"	"6"	"2"	"2"	"9"	"7"	"14"	"3"	"5"	"9"	"7"	"5"	"7"	"7"	"1"	"4"	"7"	"2"	"4"	""	"2"	""	"3"	"1"	"2"	"2"	""	""	"1"	"2"	""	""	"3"	"1"	""	"5"	""
"40"	"2"	"3"	"1"	"4"	"1"	"2"	"2"	"3"	"2"	"7"	"4"	"2"	"12"	"10"	"9"	"11"	"7"	"8"	"7"	"10"	"22"	"27"	"21"	"13"	"13"	"9"	"16"	"14"	"14"	"15"	"18"	"22"	"11"	"12"	"13"	"11"	"8"	"3"	"13"	"9"	"8"	"1"	"11"	"11"	"9"	"10"	"5"	"7"	"7"	"9"	"4"	"7"	"6"	"9"	"6"	"12"	"8"	"6"	"5"	"4"	"7"	"6"	"7"	"5"	"2"	"4"	"6"	"8"	"3"	"2"	"1"	"3"	"2"	"2"	""	"2"	"6"	"3"	"2"	"2"	"30"	""
"41"	"1"	"4"	""	"2"	"1"	"3"	"1"	"4"	"2"	"1"	"6"	"4"	"9"	"9"	"11"	"10"	"11"	"5"	"8"	"11"	"15"	"18"	"15"	"18"	"24"	"19"	"8"	"29"	"21"	"11"	"19"	"10"	"20"	"13"	"17"	"19"	"9"	"12"	"11"	"11"	"6"	"13"	"9"	"7"	"9"	"9"	"15"	"7"	"4"	"11"	"11"	"12"	"13"	"11"	"8"	"12"	"15"	"10"	"11"	"7"	"4"	"5"	"5"	"4"	"1"	"3"	"1"	"2"	"1"	"1"	"4"	"1"	"4"	"1"	"1"	"5"	""	"2"	"1"	"1"	"18"	""
"42"	"4"	"2"	"3"	""	"5"	"4"	"1"	"5"	"5"	"4"	"9"	"6"	"6"	"8"	"6"	"9"	"11"	"13"	"14"	"17"	"27"	"23"	"22"	"27"	"29"	"26"	"32"	"27"	"28"	"43"	"25"	"25"	"19"	"16"	"9"	"17"	"16"	"21"	"18"	"22"	"12"	"20"	"15"	"11"	"15"	"13"	"13"	"18"	"14"	"14"	"21"	"13"	"22"	"15"	"19"	"6"	"11"	"13"	"13"	"4"	"6"	"4"	"6"	"6"	"3"	"3"	"7"	"6"	"4"	"4"	"7"	"5"	"5"	"5"	"3"	""	"2"	"2"	"4"	"3"	"39"	"1"
"43"	"8"	"7"	"5"	"8"	"3"	"5"	"4"	"12"	"6"	"13"	"10"	"11"	"14"	"16"	"25"	"26"	"17"	"32"	"22"	"35"	"42"	"34"	"58"	"53"	"46"	"51"	"54"	"61"	"56"	"57"	"46"	"42"	"41"	"59"	"28"	"46"	"38"	"33"	"26"	"29"	"25"	"37"	"26"	"26"	"44"	"34"	"26"	"28"	"35"	"27"	"22"	"33"	"20"	"22"	"30"	"27"	"21"	"23"	"15"	"22"	"19"	"17"	"14"	"15"	"12"	"10"	"10"	"10"	"11"	"6"	"8"	"8"	"2"	"6"	"6"	"7"	"10"	"3"	"7"	"1"	"64"	"5"
"44"	"14"	"15"	"11"	"7"	"4"	"11"	"16"	"8"	"7"	"13"	"19"	"19"	"17"	"26"	"43"	"39"	"26"	"30"	"41"	"38"	"53"	"54"	"57"	"69"	"80"	"51"	"70"	"60"	"74"	"74"	"63"	"62"	"57"	"62"	"55"	"48"	"54"	"39"	"42"	"43"	"45"	"34"	"43"	"35"	"49"	"32"	"43"	"36"	"41"	"35"	"37"	"35"	"36"	"40"	"42"	"35"	"33"	"30"	"31"	"36"	"32"	"21"	"19"	"14"	"14"	"21"	"15"	"7"	"11"	"12"	"10"	"11"	"5"	"12"	"12"	"8"	"11"	"5"	"15"	"12"	"102"	"4"
"45"	"13"	"10"	"13"	"20"	"16"	"18"	"25"	"16"	"15"	"18"	"38"	"32"	"30"	"32"	"32"	"55"	"48"	"57"	"58"	"62"	"54"	"70"	"63"	"49"	"56"	"64"	"63"	"59"	"81"	"69"	"69"	"62"	"58"	"64"	"67"	"43"	"65"	"46"	"58"	"41"	"56"	"53"	"55"	"48"	"42"	"45"	"28"	"53"	"48"	"41"	"45"	"41"	"47"	"37"	"57"	"35"	"33"	"41"	"34"	"28"	"27"	"29"	"20"	"21"	"24"	"13"	"13"	"11"	"15"	"14"	"12"	"20"	"7"	"13"	"11"	"10"	"18"	"11"	"13"	"8"	"150"	"5"
"46"	"10"	"14"	"9"	"7"	"18"	"8"	"25"	"19"	"24"	"18"	"16"	"19"	"31"	"33"	"36"	"39"	"46"	"46"	"49"	"57"	"53"	"43"	"37"	"45"	"47"	"56"	"57"	"45"	"45"	"60"	"52"	"48"	"50"	"54"	"61"	"48"	"55"	"32"	"37"	"46"	"37"	"55"	"37"	"44"	"44"	"46"	"38"	"43"	"40"	"41"	"41"	"27"	"40"	"40"	"39"	"47"	"49"	"32"	"20"	"30"	"28"	"23"	"22"	"11"	"17"	"16"	"11"	"11"	"14"	"11"	"19"	"13"	"12"	"18"	"7"	"10"	"14"	"8"	"18"	"10"	"193"	"2"
"47"	"5"	"9"	"11"	"8"	"8"	"13"	"18"	"23"	"27"	"27"	"27"	"20"	"25"	"25"	"26"	"30"	"34"	"45"	"30"	"31"	"35"	"48"	"33"	"45"	"34"	"33"	"49"	"35"	"38"	"55"	"45"	"34"	"33"	"42"	"36"	"32"	"47"	"46"	"47"	"41"	"52"	"37"	"48"	"36"	"42"	"39"	"37"	"36"	"37"	"45"	"29"	"34"	"43"	"39"	"41"	"30"	"32"	"32"	"30"	"25"	"27"	"15"	"21"	"16"	"12"	"16"	"14"	"15"	"12"	"13"	"11"	"12"	"11"	"16"	"7"	"13"	""	"16"	"17"	"14"	"191"	"2"
"48"	"7"	"7"	"7"	"7"	"4"	"6"	"14"	"16"	"11"	"9"	"13"	"8"	"11"	"16"	"18"	"19"	"18"	"18"	"26"	"17"	"20"	"34"	"22"	"15"	"23"	"26"	"32"	"26"	"34"	"30"	"32"	"22"	"33"	"35"	"34"	"23"	"34"	"31"	"36"	"33"	"20"	"33"	"23"	"29"	"15"	"22"	"20"	"17"	"27"	"26"	"28"	"29"	"25"	"21"	"21"	"22"	"18"	"20"	"21"	"18"	"12"	"18"	"17"	"10"	"8"	"8"	"11"	"5"	"6"	"6"	"7"	"8"	"5"	"3"	"4"	"2"	"8"	"6"	"5"	"16"	"173"	""
"49"	"8"	"6"	"9"	"10"	"18"	"11"	"18"	"11"	"15"	"16"	"17"	"13"	"13"	"27"	"28"	"36"	"24"	"18"	"37"	"28"	"36"	"27"	"41"	"32"	"46"	"36"	"42"	"42"	"36"	"44"	"53"	"37"	"45"	"47"	"28"	"38"	"30"	"36"	"34"	"31"	"35"	"38"	"29"	"23"	"34"	"33"	"42"	"17"	"19"	"32"	"31"	"30"	"30"	"35"	"35"	"31"	"32"	"31"	"24"	"21"	"28"	"23"	"10"	"22"	"22"	"15"	"14"	"11"	"12"	"9"	"12"	"13"	"11"	"11"	"9"	"14"	"16"	"19"	"18"	"17"	"202"	""
"50"	"10"	"10"	"11"	"9"	"15"	"9"	"16"	"25"	"19"	"28"	"18"	"12"	"21"	"17"	"16"	"20"	"31"	"26"	"42"	"41"	"38"	"41"	"38"	"39"	"54"	"28"	"40"	"49"	"51"	"51"	"46"	"60"	"46"	"33"	"40"	"35"	"35"	"42"	"44"	"49"	"47"	"48"	"44"	"33"	"40"	"25"	"36"	"32"	"24"	"36"	"36"	"36"	"40"	"50"	"45"	"41"	"40"	"33"	"28"	"25"	"30"	"23"	"28"	"12"	"21"	"9"	"11"	"18"	"11"	"10"	"14"	"22"	"20"	"11"	"13"	"10"	"13"	"15"	"18"	"14"	"307"	"1"
